,phrases,English,frequency
505,não der,do not,5
506,não encaix,do not fit,3
507,não entorn,non-annoy,3
508,não entreg,mistretch,27
509,não envi,no,3
510,não estoqu,No stock,3
511,não foi,it was not,3
512,não func,func,9
513,não gost,no,8
514,não gost produt,Do not like Produt,4
515,não indic,notice,3
516,não inform,non-information,5
517,não obtiv,no obtiv,12
518,não obtiv respost,I got no answer,8
519,não orig,not origin,4
520,não poss,I can not,5
521,não prest,no,3
522,não pret,unprettured,3
523,não produt,unproductive,3
524,não que,not,3
525,não quer,do not want,6
526,não receb,do not receive,73
527,não receb nad,I did not get anything,3
528,não receb produt,I did not recieve the product,30
529,não recom,no,4
530,não resolv,unresponsive,3
531,não respond,do not respond,5
532,não sancion,No Sancion,5
533,não sei,I do not know,7
534,não ter,not,4
535,não tiv,no tiv,5
536,não vei,do not see,9
537,obtiv nenhum,obtiv,3
538,obtiv respost,obtive response,15
539,obtiv retorn,obtive return,8
540,olá boa,Hello good,3
541,on thousand,On Thousand,3
542,ond produt,ONE PRODUCT,3
543,one dia,one day,4
544,one gineta,gyna,3
545,one gineta tin,One Gineta Tin,3
546,one hundred,one hundred,33
547,one hundred and,One Hundred And,22
548,one hundred and fit,One Hundred and Fit,5
549,one hundred and tent,One Hundred And Tent,3
550,one hundred and tento,One Hundred and Tento,5
551,one mand,one man,4
552,one mand mens,One and Mens,3
553,one mê,one mê,6
554,one not,OneNote,4
555,one not fiscal,One Not Tax,3
556,one produt,ONE PRODUCT,8
557,one unidad,one unidad,10
558,orient troc,Orient Troc,4
559,os correi,The Ceri,5
560,outr compr,outr,5
561,outr marc,outr marc,5
562,outr model,outr model,8
563,outr pesso,another person,9
564,outr produt,other product,26
565,outr total,outr,6
566,outr total difer,outr total difer,5
567,pag doi,pag,6
568,pag dua,pag dua,5
569,pag fret,pag fret,17
570,pag não,pag,11
571,pag não receb,page does not receive,7
572,pag não receb produt,page has not received product,4
573,pag prim,pag,4
574,pag prim parcel,PAG Prim Parcel,4
575,pag produt,pag produt,4
576,pag tão,pag,7
577,pag tão unidad,pag so unit,4
578,pag vist,pag vist,4
579,papel pared,paper,4
580,par ser,pair,4
581,parc targaryen,Parc Targaryen,4
582,parec produt,Parec Produt,4
583,pass praz,pass,10
584,pass praz entreg,Pass Praz,6
585,ped cancel,Ped Cancel,9
586,ped cheg,pet chef,4
587,ped complet,ped completiz,4
588,ped doi,peddler,8
589,ped entreg,ped interg,5
590,ped foi,ped was,5
591,ped muit,Ped Muit,4
592,ped não,pedest,6
593,ped one,Ped One,4
594,ped produt,Ped Produt,6
595,ped troc,peddler,7
596,ped tão,peddler,4
597,ped vei,ped vei,4
598,pens ser,think,4
599,pod ser,can be,4
600,poi compr,POI COMP,6
601,poi ped,poi ped,6
602,poi produt,Poi Produt,9
603,poi produt vei,POI PRODUT VEI,4
604,porém foi,but it was,4
605,porém receb,however,7
606,porém vei,but I see,10
607,poss avali,possessions,10
608,pra sab,sab,4
609,praz entreg,deadline delivery,29
610,praz estipul,stipul,5
611,praz porém,plane,6
612,precis faz,Precision does,4
613,precis uma,need,6
614,pres dat,preset,7
615,pres dat receb,pres dat,5
616,pret vei,pret vei,4
617,previs entreg,Prediction delivery,9
618,previs entreg dia,Forecast Delivery Day,4
619,prim parcel,Prim parcel,5
620,prim vez,first time,10
621,produt agor,Product now,5
622,produt aguard,Produt Aguard,6
623,produt aind,product,35
624,produt aind cheg,product still arrives,11
625,produt aind foi,product was still,11
626,produt aind foi entreg,product was still delivered,10
627,produt anunci,Produt Anunci,5
628,produt até,Produt,7
629,produt baix,Product Low,4
630,produt baix qual,Product Low Which,4
631,produt bom,produce good,5
632,produt cheg,Chef Products,55
633,produt com,Produt,4
634,produt complet,product,6
635,produt compr,Produt,37
636,produt conform,product according to,5
637,produt const,Produt Const,6
638,produt cor,produt color,6
639,produt correspond,produt correspond,5
640,produt corret,correct product,8
641,produt defeit,product,9
642,produt dess,produt des,4
643,produt dia,produt day,6
644,produt difer,Produt Defer,18
645,produt difer que,PRODUT DIFER,5
646,produt ent,produt,4
647,produt entreg,product delivered,43
648,produt entreg porém,product delivered,4
649,produt envi,Produt,9
650,produt err,Product error,25
651,produt est,Product,7
652,produt estoqu,Product stock,4
653,produt eu,Product,4
654,produt fals,product,6
655,produt falsific,Produt fake,4
656,produt falt,Product Flat,6
657,produt foi,Product was,36
658,produt foi entreg,product was delivered,28
659,produt func,Produt Func,10
660,produt ja,produt already,5
661,produt já,produt already,4
662,produt mand,produt,6
663,produt me,Produt,8
664,produt me entreg,Product deliver me,4
665,produt mesm,product,8
666,produt meu,produt my,4
667,produt muit,much product,4
668,produt nem,produt,8
669,produt não,produt not,41
670,produt não cheg,product does not arrive,4
671,produt não entreg,product not delivered,5
672,produt não receb,product does not receive,5
673,produt one,produt one,4
674,produt orig,produt orig,11
675,produt outr,Product Out,8
676,produt pag,Produt Pag,7
677,produt parec,PRODUT PARECEC,4
678,produt ped,Produt Ped,5
679,produt poi,produt poi,12
680,produt por,produt by,4
681,produt porém,produt however,4
682,produt praz,produt pleasure,10
683,produt péss,Product feet,12
684,produt péss qual,Product feet,11
685,produt qual,produt what,8
686,produt quer,Produt,6
687,produt receb,Product receives,25
688,produt receb outr,Product receives another,7
689,produt retorn,Product Return,4
690,produt ser,produce,4
691,produt so,Produt,4
692,produt só,produt,5
693,produt ter,produce,4
694,produt total,prodUT total,7
695,produt total difer,Produt Total Defer,7
696,produt tão,Produt,4
697,produt um,produt a,8
698,produt um códig,Product a code,3
699,produt um códig vem,Product a code comes,3
700,produt uma,produt a,4
701,produt us,produt us,3
702,produt vei,Produt Vei,89
703,produt vei caix,Produt Vei Box,3
704,produt vei conform,Product Vei,3
705,produt vei cor,Prod Vei Color,3
706,produt vei defeit,Produt Vei Defocit,12
707,produt vei difer,Produt Vei Defer,4
708,produt vei err,PRODU VEI ERR,11
709,produt vei falt,Product has lacked,6
710,produt vei outr,Product Vei outr,4
711,produt vei quebr,Produt Vei QueBr,4
712,produt vit,produt vit,5
713,propagand engan,prosecution,10
714,péss loj,feet shop,3
715,péss qual,mesess which,26
716,péss qual não,who does not,3
717,péss rend,Rend,5
718,qu abr,Q ABR,3
719,qual não,What's not,7
720,qual produt,which produt,7
721,qual péss,what are,5
722,qual recom,which one,3
723,qual ruim,What bad,4
724,quant tão,quant,3
725,quas mê,quas,5
726,quas tent,quasts,3
727,quas tent dia,quasts,3
728,quas tão,quasus so,3
729,quas tão mes,quasus so month,3
730,que acontec,happening,8
731,que compr,whipping,18
732,que envi,whip,5
733,que faz,that makes,4
734,que hav,that hav,4
735,que ir,want to go,3
736,que pag,that pag,6
737,que ped,ped,6
738,que produt,produce,4
739,que receb,that,9
740,que vai,which goes,3
741,quebr não,not,3
742,quebr quer,query,3
743,quer cancel,Whether you cancel,3
744,quer devoluç,want to return,6
745,quer devolv,want to return,13
746,quer devolv produt,want to return product,4
747,quer dinh,want money,19
748,quer dinh volt,Want Dinh Volt,16
749,quer estorv,whether ESTORV,3
750,quer faz,you want to do,3
751,quer meu,want my,6
752,quer meu dinh,Want my money,4
753,quer meu dinh volt,want my dinh volt,3
754,quer outr,either outr,4
755,quer produt,either produt,10
756,quer receb,want to receive,7
757,quer sab,want to know,17
758,quer sab que,you want to know that,5
759,quer troc,either troc,10
760,realiz compr,conducive,11
761,realiz dia,day,3
762,realiz troc,trig,5
763,receb aguard,receive,4
764,receb aind,I still received,5
765,receb apen,receive apen,40
766,receb apen one,receive APEN ONE,17
767,receb apen one unidad,receive APEN ONE UNIDAD,3
768,receb caix,Cash,4
769,receb compr,receive,9
770,receb códig,Recent Category,3
771,receb difer,Defer,4
772,receb dinh,receive money,5
773,receb dinh volt,Receive money back,4
774,receb dua,receive dua,5
775,receb encomend,Receive Order,4
776,receb entreg,Return,3
777,receb jour,Get Jour,3
778,receb mail,receive mail,7
779,receb mercad,I received a market,13
780,receb meu,receive my,7
781,receb meu produt,Receur my product,6
782,receb nad,receive nad,10
783,receb nenhum,none,8
784,receb not,receive,5
785,receb not fiscal,Receivable news,4
786,receb não,receive no,5
787,receb one,receive one,8
788,receb outr,Record,20
789,receb outr produt,receive outr produt,6
790,receb ped,receive ped,9
791,receb praz,Send Praz,6
792,receb produt,Receive Produt,232
793,receb produt aind,I received a product yet,9
794,receb produt complet,Receive Complet,5
795,receb produt compr,Receive Produt,9
796,receb produt corret,Receive Correct,4
797,receb produt difer,Receive Defer,5
798,receb produt err,Produt Err,12
799,receb produt nem,receives,6
800,receb produt não,receives not,4
801,receb produt por,Produt by,4
802,receb produt praz,I received product term,8
803,receb que,receive,6
804,receb soment,receive soment,11
805,receb soment one,receive soment one,6
806,receb tre,receive tre,4
807,receb tão,receive so,5
808,receb vei,receive vei,5
809,reclam não,reclam,4
810,recom loj,loj,9
811,recomend loj,Recommend Store,6
812,reembols val,Reembols Val,4
813,relógi vei,old clock,4
814,resolv problem,Resolve Problem,18
815,respeit client,Respect Client,8
816,respeit consum,respect,4
817,respond mail,answer mail,5
818,ressarc val,RESARCC Val,5
819,retir correi,withdraw,6
820,retorn loj,Return loj,4
821,ric se,ric,4
822,sab porqu,do you know why,4
823,sab que,saber,11
824,sab que acontec,happening,4
825,sab vai,sab,6
826,se pass,pass,4
827,segund vez,second time,6
828,sempr compr,sempr,17
829,sempr compr lannist,SEMPR LANNIST,4
830,send não,Send does not,4
831,ser entreg,be delivered,18
832,ser entreg dia,be deliver,4
833,ser feit,feit,4
834,ser hundred,Hundred,5
835,setenta on,Seventy On,5
836,sid entreg,Sid deliver,4
837,sim hundred,Yes Hundred,10
838,sim hundred and,Yes Hundred and,9
839,sim hundred and sexta,Yes Hundred and Friday,4
840,sim night,Yes Night,4
841,sim sim,Yes Yes,4
842,sim thousand,Yes THOUSAND,11
843,sim thousand and,Yes Thousand and,10
844,sim thousand and eighteen,Yes THOUSAND AND EIGHTEEN,10
845,simples entreg,simple,4
846,so cheg,I'm a chef,4
847,so entreg,just deliver,4
848,so receb,just receive,5
849,solicit cancel,Request Cancel,13
850,solicit devoluç,solicit,23
851,solicit devoluç produt,Request Return Product,5
852,solicit troc,request troc,13
853,solicit troc produt,Request exchange product,4
854,soluç problem,soluç problem,5
855,soment one,soment one,12
856,só cheg,only,6
857,só entreg,just deliver,6
858,só receb,only,22
859,só vei,only,6
860,tem compr,It has,4
861,tem nad,Nad,7
862,tem nad ver,has nad see,5
863,tent contat,Tent Contat,6
864,tent devolv,Tent Devold,4
865,tent dia,tent,5
866,tent entr,Tent ENTR,9
867,tent entr contat,Tent Enter Account,8
868,tento jour,Tento Jour,9
869,tento night,try night,6
870,tento on,I try on,5
871,tento sim,I try to,4
872,tento tine,try,5
873,tento tiv,tent,5
874,tento tres,trues,4
875,ter compr,compose,4
876,ter receb,receive,4
877,ter sid,sid,5
878,thousand and,THOUSAND AND,37
879,thousand and eighteen,THOUSAND AND EIGHTEEN,30
880,thousand and eighteen até,Thousand and Eighteen until,6
881,thousand one,thousand one,4
882,thousand tre,THOUSAND TRE,6
883,thousand tre hundred,THOUSAND TRE Hundred,6
884,thousand tre hundred and,THOUSAND TRE Hundred and,6
885,tin hundred,hundred tin,10
886,tin hundred and,Tin Hundred and,10
887,tin thousand,Tin Thousand,4
888,tine night,TINE NIGHT,4
889,tinh produt,Tinh Produt,4
890,tinh sid,Tinh Sid,5
891,tirt dia,tirt day,5
892,tirte jour,Tire Jour,5
893,tiv dia,tiv,5
894,tiv hundred,tiv hundred,8
895,tiv hundred and,Tiv Hundred And,5
896,tiv nenhum,tiv,6
897,tiv respost,I had an answer,4
898,tiv retorn,Tiv Return,9
899,tive eighteen,I had Eighteen,4
900,total difer,total difference,19
901,total err,total er,5
902,total satisfeit,total satisfied,5
903,tre hundred,hundred,11
904,tre hundred and,Hundred and,9
905,tre produt,TRE PRODUT,4
906,tre unidad,tre unidad,3
907,tres jour,Tres Jour,6
908,troc aguard,Troc Aguard,3
909,troc não,no,6
910,troc outr,troc outr,3
911,troc poi,Troc POI,3
912,troc produt,Troc Produt,20
913,troc produt poi,Troc Produt POI,3
914,troc vit,Troc Vit,8
915,trê unidad,Tres United,3
916,tud cert,tud cert,4
917,tão cartuch,so carth,3
918,tão dia,so day,4
919,tão doi,so hurt,3
920,tão fit,so fit,3
921,tão hundred,so houndred,19
922,tão hundred and,So Hundred And,17
923,tão hundred and twentyv,Two Hundred and Twenty,3
924,tão luminár,so luminair,4
925,tão mes,so much,4
926,tão night,so night,4
927,tão night thousand,So Night Thousand,3
928,tão night thousand and,So Night Thousand And,3
929,tão oit,so oit,3
930,tão produt,so produt,11
931,tão relógi,so watch,3
932,tão sim,so yes,3
933,tão tem,so you have,4
934,tão thousand,so thousand,6
935,tão thousand and,so thousand and,5
936,tão unidad,so united,13
937,tão unidad produt,So unidad Produt,3
938,tão vez,then,3
939,um códig,a code,3
940,um códig vem,A codig comes,3
941,um códig vem outr,one code in another,3
942,um produt,a product,8
943,uma empr,a company,3
944,uma pos,a pos,6
945,uma respost,an answer,5
946,uma répl,a repl,3
947,uma seman,seman,5
948,uma soluç,a solution,4
949,unidad aguard,Unidad Aguard,3
950,unidad produt,Unidad Produt,7
951,unidad receb,UNIDAD,4
952,unidad receb apen,UNIDAD RECE APEN,3
953,unidad sra,miserable,3
954,vai fic,Go fic,4
955,vai ser,will be,5
956,val cart,Val Cart,3
957,val compr,Val Congo,3
958,val pag,Val Pag,13
959,val preç,Val Press,3
960,val produt,Val Produt,4
961,vei apen,vei apen,9
962,vei av,vei av,3
963,vei caix,vei box,5
964,vei conform,vei,4
965,vei cor,vei color,8
966,vei cor err,Vei color err,4
967,vei corret,Vei Corret,3
968,vei defeit,vei defit,18
969,vei defeit func,Vei Defit Func,3
970,vei difer,vei differ,7
971,vei err,vei err,17
972,vei falt,vei falt,16
973,vei one,vei one,9
974,vei outr,vei outr,13
975,vei pag,vei pag,3
976,vei produt,Vei Produt,5
977,vei quant,vei quant,3
978,vei quebr,vei quebr,13
979,vei santific,vei santific,4
980,vei soment,vei,6
981,vei total,total,5
982,vei total err,Vei Total Err,3
983,vei um,I saw a,5
984,vem outr,Come out,3
985,vem outr total,Come on Total,3
986,vem outr total difer,Come Out Total Defer,3
987,venc praz,Sunday,3
988,vend produt,sale product,10
989,vend produt fals,Vend Produt,3
990,vend produt não,Vend Produt No,3
991,vez compr,bulk,6
992,vez não,no,5
993,vez receb,time,7
994,vit lannist,Vit Lannist,16
995,vit st,vit st,4
996,vo mand,mand,4
997,vou receb,I'll receive,4
998,vou ter,I will have,4
999,zer real,zer,4
